rank,name,frequency
538,Raquel,49724
539,Marcella,49653
540,Rosemarie,49610
541,Jaclyn,49425
542,Anastasia,49390
543,Julianna,49325
544,Kylee,49302
545,Esmeralda,48885
546,Eloise,48711
547,Kerry,48626
548,Marisa,48589
549,Lucia,48344
550,Eunice,48106
551,Janis,48081
552,Shelia,47721
553,Giselle,47607
554,Nadine,47379
555,Ashlyn,47129
556,Aubree,47079
557,Adrianna,47069
558,Marguerite,46984
559,Betsy,46745
560,Paulette,46484
561,Rochelle,46437
562,Johanna,46427
563,Alaina,46376
564,Hilda,46246
565,Kelley,46038
566,Khloe,45976
567,Hattie,45968
568,Ginger,45872
569,Doreen,45772
570,Leilani,45642
571,Jana,45615
572,Latoya,45532
573,Christie,45486
574,Shawna,45480
575,Myrtle,45466
576,Alexia,45256
577,Aliyah,45126
578,Laurel,45121
579,Nadia,44651
580,Jasmin,44566
581,Patti,44503
582,Athena,44443
583,Quinn,44282
584,Elisa,44227
585,Jayla,44174
586,Cecelia,43980
587,Teri,43928
588,Lora,43926
589,Carolina,43724
590,Serena,43686
591,Brielle,43604
592,Leila,43600
593,Makenzie,43557
594,Ashlee,43413
595,Jazmin,43110
596,Darla,42941
597,Eden,42921
598,Lynette,42847
599,Elisabeth,42774
600,Leticia,42591
601,Corinne,42532
602,Raven,42459
603,Mindy,42326
604,Mercedes,42279
605,Kyla,42065
606,Cassie,42062
607,London,41822
608,Mckenna,41764
609,Mariana,41586
610,Verna,41573
611,Meagan,41523
612,Delaney,41420
613,Alberta,41220
614,Mona,41210
615,Mabel,41143
616,Kinsley,41126
617,Shari,40909
618,Isla,40881
619,Alondra,40778
620,Laila,40595
621,Madeleine,40516
622,Celia,40203
623,Allie,40161
624,Trisha,40155
625,Tricia,40114
626,Leigh,40050
627,Noelle,40018
628,Dixie,40008
629,Nikki,39959
630,Reese,39869
631,Mandy,39771
632,Lyla,39651
633,Hadley,39616
634,Pat,39333
635,Nova,39215
636,Sonja,39200
637,Yesenia,39087
638,Hanna,39050
639,Alina,39018
640,Stacie,38991
641,Della,38989
642,Ebony,38930
643,Kira,38600
644,Marla,38494
645,Daphne,38468
646,Clarissa,38419
647,Kristie,38345
648,Alissa,38228
649,Amaya,38179
650,Dakota,38028
651,Johnnie,38007
652,Olga,37991
653,Kimberley,37975
654,Tami,37896
655,Jazmine,37549
656,Flora,37543
657,Marina,37419
658,Margarita,37156
659,Kyra,37127
660,Sasha,37123
661,Lula,37063
662,Kerri,36975
663,Stefanie,36962
664,Lorena,36848
665,Tori,36591
666,Bonita,36452
667,Fatima,36120
668,Cheri,36045
669,Brooklynn,35996
670,Justine,35887
671,Jeannie,35578
672,Francine,35536
673,Tasha,35479
674,Tammie,35369
675,Fannie,35214
676,Sherrie,35131
677,Britney,35065
678,Jolene,34704
679,Tatiana,34541
680,Everly,34424
681,Ximena,34389
682,Ciara,34370
683,Opal,34344
684,Ronda,34299
685,Alisa,34260
686,Emery,34247
687,Lesley,34099
688,Phoebe,34086
689,Patrice,33977
690,Inez,33956
691,Ernestine,33890
692,Katharine,33878
693,Marisol,33859
694,Rachelle,33629
695,Laverne,33578
696,Tia,33469
697,Therese,33449
698,Janine,33425
699,Erma,33408
700,Kayleigh,33340
701,Diamond,33265
702,Juliet,33225
703,Charity,33223
704,Pam,33120
705,Sienna,33091
706,Shawn,33019
707,Kasey,32965
708,Kassandra,32920
709,Lucinda,32909
710,Mayra,32867
711,Muriel,32796
712,Christa,32706
713,Alayna,32663
714,Tracie,32552
715,Alivia,32512
716,Harmony,32511
717,Deloris,32412
718,Trina,32410
719,Keira,32338
720,Juliette,32237
721,Francesca,32220
722,Asia,32150
723,Savanna,32108
724,Keri,32021
725,Ryleigh,31995
726,Makenna,31985
727,Daniella,31896
728,Paris,31853
729,Ashleigh,31793
730,Fiona,31734
731,Charlie,31523
732,Lea,31519
733,Chelsey,31412
734,Mamie,31237
735,Aileen,31139
736,Hayden,31075
737,Macy,30942
738,Dina,30827
739,Talia,30610
740,Shayla,30567
741,Helena,30528
742,Katelynn,30456
743,Janette,30417
744,Cameron,30321
745,Dena,30261
746,Gwen,30224
747,Latasha,30211
748,Jewel,30182
749,Julianne,30113
750,Myrna,29908
751,Olive,29876
752,Marley,29846
753,Cherie,29831
754,Debora,29830
755,Haylee,29687
756,Shana,29546
757,Mollie,29533
758,Randi,29521
759,Angelique,29478
760,Leanne,29421
761,Kali,29412
762,Logan,29387
763,Izabella,29347
764,Antonia,29318
765,Cathleen,29239
766,Alyson,29174
767,Norah,29165
768,Brenna,29076
769,Aniyah,29034
770,Ayla,29034
771,Camryn,29002
772,Frankie,28958
773,Arielle,28892
774,Hillary,28821
775,Lara,28742
776,Harley,28671
777,Delia,28668
778,Bette,28652
779,Bettie,28635
780,Elaina,28618
781,Malia,28611
782,Tania,28556
783,Heaven,28525
784,Joni,28511
785,Adalynn,28466
786,Blanche,28400
787,Candy,28389
788,Karin,28388
789,Tiana,28361
790,Carissa,28296
791,Evangeline,28278
792,Shanna,28261
793,Hallie,28164
794,Beulah,28157
795,Emerson,28037
796,Shauna,28033
797,Rena,27871
798,Adele,27560
799,Presley,27496
800,Brynn,27474
801,Cierra,27459
802,Raelynn,27450
803,Jayne,27322
804,Sondra,27003
805,Clare,26929
806,Jodie,26881
807,Adalyn,26778
808,Mable,26681
809,Kailey,26677
810,Melba,26595
811,Ingrid,26562
812,Teagan,26558
813,Lexi,26503
814,Lou,26438
815,Estelle,26405
816,Lenora,26392
817,Ryan,26388
818,Simone,26336
819,Skyler,26330
820,Freda,26304
821,Luz,26227
822,Imani,26046
823,Henrietta,26040
824,Millie,26025
825,Catalina,25792
826,Estella,25704
827,Eve,25667
828,Reba,25562
829,Kiana,25544
830,Lorna,25533
831,Parker,25514
832,Taryn,25502
833,Jenifer,25502
834,Staci,25470
835,Greta,25465
836,Camilla,25400
837,Lizbeth,25340
838,Susanne,25329
839,Margo,25280
840,Elsa,25280
841,Lorene,25225
842,Julissa,25149
843,Trudy,25142
844,Blanca,25095
845,Kenya,25078
846,Colette,25066
847,Willa,25041
848,Ashlynn,25028
849,Polly,24735
850,Sage,24610
